,x,y
115,36.4490365,15.3633705
116,38.5979,-5.5168
117,31.2719,-6.317
118,29.6615055,-4.8824092
119,30.6939,-5.7176
120,30.8893,3.4232
121,30.7794,-3.688
122,30.323,-4.1862
123,32.3115,-4.7543
124,31.941,3.4687
125,32.0169,3.3899
126,31.9485,3.2849
127,31.656,3.1907
128,31.648,3.2242
129,31.9554,3.2576
130,31.8712,3.2982
131,31.7378,3.4125
132,31.78111,3.33672
133,31.8857,3.4721
134,31.7525,3.4583
135,31.896,3.3034
136,31.86124,3.28706
137,31.7904,3.1919
138,31.88647,3.28612
139,31.81987,3.15579
140,31.72517,3.4704
141,31.90885,3.47944
142,31.6164,3.2644
143,31.3884,3.4721
144,31.3475,3.5287
145,31.385,3.3893
146,31.3164,3.3755
147,31.2982,3.3337
148,31.3073,3.2516
149,31.2654,3.2389
150,31.2328,3.2204
151,31.2918,3.218
152,31.2992,3.3311
153,32.2042,1.9325
154,32.1525,1.9267
155,31.1044,0.3677
156,31.0814,0.3313
157,31.0952,0.3358
158,31.1062,0.3885
159,31.0677,0.4035
160,31.0637,0.3384
161,31.0886,0.3611
162,31.1195,0.3334
163,31.0958,0.3948
164,31.0811913,0.3586412
165,30.7972,1.1798
166,30.7642,1.1434
167,30.8063,1.1589
168,30.786,1.1505
169,30.7321,1.166
170,30.7701,1.196
171,30.7909,1.16
172,30.7772,1.1698
173,30.7479,1.1559
174,30.7901,1.1919
175,30.7488,1.1379
176,30.7655,1.1499
177,30.7817,1.1888
178,30.7255,1.157
179,30.7293,1.1338
180,30.722,1.1098
181,31.0359,3.3827
182,30.9476,0.7784
183,31.0467,0.7419
184,30.9071,-0.8185
185,30.6257,-0.9459
186,32.4794,3.3609
187,31.5807,3.4241
188,31.546,3.4038
189,31.6113,3.4788
190,31.7014,3.5251
191,31.5893,3.4019
192,31.6356,3.4882
193,31.6526,3.4965
194,31.1984,3.1906
195,31.2008,3.1467
196,31.2959,3.0918
197,31.3526,3.1213
198,31.3128,3.1765
199,31.3921,3.0874
200,31.3261,3.0552
201,30.6896,0.2741
202,30.6682,0.2947
203,30.6845,0.3411
204,30.6481,0.3222
205,30.6685,0.2757
206,30.6644,0.3462
207,30.7068,0.3167
208,30.6836,0.3098
209,-0.0532,14.1524
210,-0.7193,14.6007
211,-1.6714,14.0033
212,-2.4013,4.9564
213,-1.4432,5.1128
214,-2.6835,7.4786
215,-2.4554,4.9758
216,3.4201,14.9127
217,0.9195302,14.7336301
218,4.5556,15.7042
219,1.9526,14.6692
220,2.0882,14.3178
221,12.5026,13.6221
222,0.9507,14.7779
223,8.8025,6.6063
224,8.8332,6.5963
225,9.3438,6.7387
226,8.7576,6.6178
227,14.8071,6.9179
228,14.439,5.7502
229,15.0323,4.1763
230,14.9107,4.2773
231,14.8391,4.3266
232,13.8640004,10.5530311
233,14.5668,6.7409
234,15.05863,3.55318
235,14.5448,4.6267
236,26.25296,5.31386
237,20.5907,5.7266
238,25.128023,5.0247432
239,22.3423,14.7975
240,16.5873,7.9399
241,16.4206,7.8192
242,17.5071,8.119
243,18.7561941,8.44546
244,21.6981,13.4722
245,14.2983,13.6211
246,18.3314292,8.6110248
247,15.7600529,7.7819179
248,17.2699,8.1648
249,21.3857,12.2265
250,16.6056,7.9936
251,16.4871,8.1566
252,21.794851,13.5952034
253,21.4509,13.764
254,17.6731,8.0981
255,16.5486644,7.9489788
256,21.7464,12.0039
257,22.1299383,15.1225226
258,21.3015,11.8885
259,21.1976,13.7945
260,21.941,14.4591
261,21.9285,14.5921
262,18.4648,8.8286
263,23.0497,15.7066
264,22.2672,15.0008
265,21.6483099,13.4383284
266,15.7526,7.7787
267,30.1946247,3.6362199
268,19.92082,4.5416238
269,30.3554,2.8182
270,18.7675,3.7228
271,20.7691,4.0963
272,28.56229,3.6071
273,29.1023,-3.8859
274,25.8196414,4.0238199
275,30.2022314,3.8499427
276,18.8004,4.134
277,29.0366721,-4.236931
278,27.7574,4.6129
279,20.0446,-7.3843
280,33.8714,-13.6614
281,34.446,-15.457
282,39.2504886,-15.2549551
283,17.3646,-21.0714
284,28.8923,-9.5122
285,24.191,-14.5491
286,25.8808,-12.4983
287,32.3076631,-20.3465343
288,0.0,0.0
289,0.0,0.0
290,0.0,0.0
